"geometry","goal","count","reference_profile","reference_value_kind","reference_count_numerator","reference_count_denominator","lower_anchor_count","upper_anchor_count","lower_anchor_material","upper_anchor_material","interpolated_reference_numerator","interpolated_reference_denominator","reference_clear_budget","target_clear_budget","formation_contribution_numerator","formation_contribution_denominator","raw_material_numerator","raw_material_denominator","authored_correction","player_chessmen_before_cap","example_final_d1_r0_no_cap"
"10x10","Capture 2 Pawns","2","grand10","series-curve","2","1","2","2","1650","1650","1650","1","6050","8050","6000","11","24150","11","0","1","2196"
"10x10","Capture 3 Pawns","3","grand10","series-curve","14","5","2","3","1650","2450","2290","1","6050","8050","91600","121","368690","121","0","2","3048"
"10x10","Capture 4 Pawns","4","grand10","series-curve","18","5","3","4","2450","3240","2924","1","6050","8050","116960","121","470764","121","0","3","3891"
"10x10","Capture 5 Pawns","5","grand10","series-curve","22","5","4","5","3240","3620","3392","1","6050","8050","135680","121","546112","121","0","4","4514"
"10x10","Capture 6 Pawns","6","grand10","series-curve","26","5","5","6","3620","3975","3691","1","6050","8050","147640","121","594251","121","0","5","4912"
"10x10","Capture 7 Pawns","7","grand10","series-curve","6","1","6","6","3975","3975","3975","1","6050","8050","159000","121","639975","121","0","6","5290"
"10x10","Capture 8 Pawns","8","grand10","series-curve","34","5","6","7","3975","4255","4199","1","6050","8050","167960","121","676039","121","0","7","5588"
"10x10","Capture 9 Pawns","9","grand10","series-curve","38","5","7","8","4255","4545","4429","1","6050","8050","177160","121","713069","121","0","8","5894"
"10x10","Capture 10 Pawns","10","grand10","series-curve","42","5","8","9","4545","4645","4585","1","6050","8050","183400","121","738185","121","0","9","6101"
"10x10","Capture 11 Pawns","11","grand10","series-curve","46","5","9","10","4645","5245","4765","1","6050","8050","190600","121","767165","121","0","10","6341"
"10x10","Capture 12 Pawns","12","grand10","series-curve","10","1","10","10","5245","5245","5245","1","6050","8050","209800","121","844445","121","0","11","6979"
"10x10","Capture 2 Pieces","2","grand10","series-curve","2","1","2","2","3000","3000","3000","1","6050","8050","120000","121","483000","121","0","1","3992"
"10x10","Capture 3 Pieces","3","grand10","series-curve","33","13","2","3","3000","3400","41800","13","6050","8050","152000","143","611800","143","0","2","4279"
"10x10","Capture 4 Pieces","4","grand10","series-curve","40","13","3","4","3400","3750","44550","13","6050","8050","162000","143","652050","143","0","3","4560"
"10x10","Capture 5 Pieces","5","grand10","series-curve","47","13","3","4","3400","3750","47000","13","6050","8050","1880000","1573","7567000","1573","0","4","4811"
"10x10","Capture 6 Pieces","6","grand10","series-curve","54","13","4","5","3750","4150","49550","13","6050","8050","1982000","1573","7977550","1573","0","5","5072"
"10x10","Capture 7 Pieces","7","grand10","series-curve","61","13","4","5","3750","4150","52350","13","6050","8050","2094000","1573","8428350","1573","0","6","5359"
"10x10","Capture 8 Pieces","8","grand10","series-curve","68","13","5","6","4150","4500","55000","13","6050","8050","200000","143","805000","143","0","7","5630"
"10x10","Capture 9 Pieces","9","grand10","series-curve","75","13","5","6","4150","4500","57450","13","6050","8050","2298000","1573","9249450","1573","0","8","5881"
"10x10","Capture 10 Pieces","10","grand10","series-curve","82","13","6","7","4500","4900","60100","13","6050","8050","2404000","1573","9676100","1573","0","9","6152"
"10x10","Capture 11 Pieces","11","grand10","series-curve","89","13","6","7","4500","4900","62900","13","6050","8050","2516000","1573","10126900","1573","0","10","6438"
"10x10","Capture 12 Pieces","12","grand10","series-curve","96","13","7","8","4900","5200","65200","13","6050","8050","2608000","1573","10497200","1573","0","11","6674"
"10x10","Capture 13 Pieces","13","grand10","series-curve","103","13","7","8","4900","5200","67300","13","6050","8050","2692000","1573","10835300","1573","0","12","6889"
"10x10","Capture 14 Pieces","14","grand10","series-curve","110","13","8","9","5200","5400","68800","13","6050","8050","2752000","1573","11076800","1573","0","13","7042"
"10x10","Capture 15 Pieces","15","grand10","series-curve","9","1","9","9","5400","5400","5400","1","6050","8050","216000","121","869400","121","0","14","7186"
"10x10","Capture 2 Of Each","2","grand10","series-curve","2","1","2","2","4150","4150","4150","1","6050","8050","166000","121","668150","121","0","3","5522"
"10x10","Capture 3 Of Each","3","grand10","series-curve","27","10","2","3","4150","4550","4430","1","6050","8050","177200","121","713230","121","0","5","5895"
"10x10","Capture 4 Of Each","4","grand10","series-curve","17","5","3","4","4550","4900","4690","1","6050","8050","187600","121","755090","121","0","7","6241"
"10x10","Capture 5 Of Each","5","grand10","series-curve","41","10","4","5","4900","5200","4930","1","6050","8050","197200","121","793730","121","0","9","6560"
"10x10","Capture 6 Of Each","6","grand10","series-curve","24","5","4","5","4900","5200","5140","1","6050","8050","205600","121","827540","121","0","11","6840"
"10x10","Capture 7 Of Each","7","grand10","series-curve","11","2","5","6","5200","5450","5325","1","6050","8050","213000","121","857325","121","0","13","7086"
"10x10","Capture 8 Of Each","8","grand10","series-curve","31","5","6","7","5450","5650","5490","1","6050","8050","219600","121","883890","121","0","15","7305"
"10x10","Capture 9 Of Each","9","grand10","series-curve","69","10","6","7","5450","5650","5630","1","6050","8050","225200","121","906430","121","0","17","7492"
"10x10","Capture 10 Of Each","10","grand10","series-curve","38","5","7","8","5650","5850","5770","1","6050","8050","230800","121","928970","121","0","19","7678"
"10x10","Capture 11 Of Each","11","grand10","series-curve","83","10","8","9","5850","5950","5880","1","6050","8050","235200","121","946680","121","0","21","7824"
"10x10","Capture 12 Of Each","12","grand10","series-curve","9","1","9","9","5950","5950","5950","1","6050","8050","238000","121","957950","121","0","23","7917"
