geometry,role,display_name,white_origin,black_origin,goal_class,target_mg,reference_bank,reference_role,reference_requirement,reference_target_mg,reference_cpu_mg,target_cpu_mg,reference_clear,target_clear,beta,reference_accessibility,other_growth,scaled_accessibility,accessibility_floor,selected_accessibility,reference_file_coordinate,pawn_curve_value,central_pressure_budget,spatial_premium,main_pawn_baseline,rearguard_premium,queen_intrinsic,checkmate_intrinsic,intrinsic_material,explicit_correction,required_player_chessmen,example_final_d1_r0_no_cap
6x8,center_rook,Capture Center Rook,C1,C8,non_pawn,500,base8,queen_side_rook,1500,500,4375,2725,4020,2370,1/4,1000,-1650,39500/67,,39500/67,,,,,,,,,73000/67,0,0,1090
6x8,queen_side_knight,Capture Queen's Knight,A1,A8,non_pawn,325,base8,queen_side_knight,700,325,4375,2725,4020,2370,1/2,375,-1650,29625/134,,29625/134,,,,,,,,,73175/134,0,0,547
6x8,queen_side_bishop,Capture Queen's Bishop,B1,B8,non_pawn,325,base8,queen_side_bishop,1040,325,4375,2725,4020,2370,1/4,715,-1650,56485/134,,56485/134,,,,,,,,,100035/134,0,0,747
6x8,king_side_bishop,Capture King's Bishop,E1,E8,non_pawn,325,base8,king_side_bishop,1140,325,4375,2725,4020,2370,1/4,815,-1650,64385/134,,64385/134,,,,,,,,,107935/134,0,0,806
6x8,king_side_knight,Capture King's Knight,F1,F8,non_pawn,325,base8,king_side_knight,1040,325,4375,2725,4020,2370,1/2,715,-1650,56485/134,,56485/134,,,,,,,,,100035/134,0,0,747
6x8,center_rook_pawn,Capture Center Rook Pawn,C2,C7,pawn,100,base8,same_side_pawn_curve,,,,2725,4020,2370,,,,,,,0,100,100,0,100,0,,,100,0,0,100
6x8,queen_side_knight_pawn,Capture Queen's Knight Pawn,A2,A7,pawn,100,base8,same_side_pawn_curve,,,,2725,4020,2370,,,,,,,3,490,100,15405/67,22105/67,0,,,22105/67,0,0,330
6x8,queen_side_bishop_pawn,Capture Queen's Bishop Pawn,B2,B7,pawn,100,base8,same_side_pawn_curve,,,,2725,4020,2370,,,,,,,3/2,835/3,100,42265/402,82465/402,0,,,82465/402,0,0,206
6x8,king_pawn,Capture King's Pawn,D2,D7,pawn,100,base8,same_side_pawn_curve,,,,2725,4020,2370,,,,,,,0,100,100,0,100,0,,,100,0,0,100
6x8,king_side_bishop_pawn,Capture King's Bishop Pawn,E2,E7,pawn,100,base8,same_side_pawn_curve,,,,2725,4020,2370,,,,,,,3/2,176485/493,100,10047615/66062,16653815/66062,0,,,16653815/66062,0,0,253
6x8,king_side_knight_pawn,Capture King's Knight Pawn,F2,F7,pawn,100,base8,same_side_pawn_curve,,,,2725,4020,2370,,,,,,,3,490,100,15405/67,22105/67,0,,,22105/67,0,0,330
8x8,queen_side_rook,Capture Queen's Rook,A1,A8,non_pawn,500,base8,queen_side_rook,1500,500,4375,4375,4020,4020,1/4,1000,0,1000,,1000,,,,,,,,,1500,0,0,1500
8x8,queen_side_knight,Capture Queen's Knight,B1,B8,non_pawn,325,base8,queen_side_knight,700,325,4375,4375,4020,4020,1/2,375,0,375,,375,,,,,,,,,700,0,0,700
8x8,queen_side_bishop,Capture Queen's Bishop,C1,C8,non_pawn,325,base8,queen_side_bishop,1040,325,4375,4375,4020,4020,1/4,715,0,715,,715,,,,,,,,,1040,0,0,1040
8x8,queen,Capture Queen,D1,D8,non_pawn,950,base8,queen,1300,950,4375,4375,4020,4020,1/4,350,0,350,,350,,,,,,,,,1300,0,0,1300
8x8,king_side_bishop,Capture King's Bishop,F1,F8,non_pawn,325,base8,king_side_bishop,1140,325,4375,4375,4020,4020,1/4,815,0,815,,815,,,,,,,,,1140,0,0,1140
8x8,king_side_knight,Capture King's Knight,G1,G8,non_pawn,325,base8,king_side_knight,1040,325,4375,4375,4020,4020,1/2,715,0,715,,715,,,,,,,,,1040,0,0,1040
8x8,king_side_rook,Capture King's Rook,H1,H8,non_pawn,500,base8,king_side_rook,1900,500,4375,4375,4020,4020,1/4,1400,0,1400,,1400,,,,,,,,,1900,0,0,1900
8x8,queen_side_rook_pawn,Capture Queen's Rook Pawn,A2,A7,pawn,100,base8,same_side_pawn_curve,,,,4375,4020,4020,,,,,,,3,490,100,390,490,0,,,490,0,0,490
8x8,queen_side_knight_pawn,Capture Queen's Knight Pawn,B2,B7,pawn,100,base8,same_side_pawn_curve,,,,4375,4020,4020,,,,,,,2,340,100,240,340,0,,,340,0,0,340
